                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.102,                 3.8075,                 3.6707,                 1.3899,                0.00257,                0.26915,                0.02896,                 0.0118,                0.00214,                0.21756,                0.02685,                0.01069,                 1.1586,                  4.521,                 3.6424,                 1.4835,             0.00011817,             0.00011817,             0.00011817
                      2,                0.80986,                 1.9913,                 3.3518,                 1.1661,                0.04704,                0.41449,                0.08054,                0.04167,                0.04102,                 0.3568,                0.06524,                0.03613,                  1.221,                 3.3684,                 3.5803,                 1.4796,               0.000243,               0.000243,               0.000243
                      3,                0.85378,                 1.7402,                 3.0307,                 1.1817,                0.05014,                 0.5097,                0.13415,                0.08963,                0.03764,                0.41495,                0.11393,                0.06361,                 1.3598,                 3.8417,                 3.5335,                 1.5765,             0.00036531,             0.00036531,             0.00036531
                      4,                0.90294,                 1.7821,                 2.6237,                 1.1947,                0.01474,                0.59249,                0.09558,                0.05302,                0.01137,                0.48119,                0.07942,                 0.0548,                 1.3017,                 4.4592,                 3.5494,                 1.5671,              0.0004851,              0.0004851,              0.0004851
                      5,                0.89516,                 1.7518,                 2.3098,                 1.1795,                0.01068,                0.61371,                0.13619,                0.06843,                0.00771,                0.47646,                 0.0942,                 0.0408,                 1.4041,                 5.3679,                 3.5471,                 1.7048,             0.00060237,             0.00060237,             0.00060237
                      6,                0.89469,                 1.6557,                 2.1082,                 1.1848,                0.72745,                0.04351,                 0.1086,                0.06702,                0.70613,                0.03878,                0.10565,                0.06052,                  1.441,                 5.1797,                 3.5683,                 1.7433,             0.00071712,             0.00071712,             0.00071712
                      7,                0.90294,                 1.5769,                 2.0035,                 1.1875,                0.46526,                 0.0119,                0.08524,                0.03928,                0.00442,                0.30072,                0.03078,                0.01752,                  1.408,                 7.3514,                 3.3821,                 1.7386,             0.00082936,             0.00082936,             0.00082936
                      8,                0.90545,                 1.7223,                 1.8376,                 1.1689,                0.25461,                0.06706,                0.16896,                 0.1013,                 0.0046,                 0.3042,                0.04661,                0.02266,                 1.4311,                 6.7389,                 3.2823,                 1.7673,             0.00084601,             0.00084601,             0.00084601
                      9,                0.86516,                 1.4744,                 1.6982,                 1.1621,                0.16616,                0.10837,                0.11027,                 0.0452,                0.13478,                0.06987,                0.07371,                0.02931,                 1.5602,                 4.9239,                 3.1541,                 1.7621,             0.00083701,             0.00083701,             0.00083701
                     10,                0.87036,                 1.4628,                 1.6074,                 1.1601,                0.16892,                0.20767,                0.14287,                0.07609,                0.13683,                0.15013,                0.10263,                 0.0494,                 1.4851,                 4.6088,                 3.1004,                 1.7057,             0.00082801,             0.00082801,             0.00082801
                     11,                0.88238,                 1.5091,                 1.6062,                 1.1597,                0.16823,                0.23033,                0.14998,                0.08866,                0.20247,                0.13922,                0.12061,                0.05791,                 1.4514,                 4.5433,                 3.0779,                 1.6574,             0.00081901,             0.00081901,             0.00081901
                     12,                0.81082,                 1.3992,                 1.5426,                 1.1315,                0.27176,                 0.2063,                 0.1241,                0.07459,                0.25207,                0.17004,                0.09705,                0.04114,                 1.4651,                 5.2439,                 3.0991,                 1.6604,             0.00081001,             0.00081001,             0.00081001
                     13,                0.81136,                 1.4471,                 1.4813,                 1.1226,                 0.3785,                 0.2292,                0.18628,                0.12136,                0.36992,                0.24788,                0.19172,                0.08907,                 1.4657,                 5.1172,                 2.9127,                 1.6473,             0.00080101,             0.00080101,             0.00080101
                     14,                0.76614,                 1.2236,                 1.3645,                 1.0999,                0.18743,                0.35873,                0.18688,                0.11849,                0.18844,                0.31719,                0.17134,                0.09067,                 1.5342,                 4.4758,                 2.9859,                 1.7388,             0.00079201,             0.00079201,             0.00079201
                     15,                0.80437,                 1.2751,                 1.3408,                 1.1185,                0.28172,                 0.3248,                0.21672,                0.12216,                0.22178,                0.24117,                0.17943,                0.10329,                 1.5847,                 4.7236,                 2.9837,                 1.8438,             0.00078301,             0.00078301,             0.00078301
                     16,                0.78302,                 1.2531,                 1.2773,                 1.1264,                0.20838,                0.34064,                0.19511,                0.10108,                0.18966,                0.30891,                0.16693,                0.06698,                 1.6314,                  5.654,                 3.2017,                 1.9051,             0.00077401,             0.00077401,             0.00077401
                     17,                0.76441,                 1.2752,                 1.2106,                 1.0906,                0.30821,                0.19516,                0.16309,                0.09983,                0.29449,                0.18326,                0.13912,                0.07929,                 1.5738,                 4.6547,                 3.3344,                 1.8554,             0.00076501,             0.00076501,             0.00076501
                     18,                0.72868,                  1.134,                 1.1819,                 1.0889,                0.22856,                0.30432,                0.20649,                0.11785,                0.26039,                0.22934,                0.18439,                0.10221,                  1.739,                 5.0682,                  3.213,                 2.0194,             0.00075602,             0.00075602,             0.00075602
                     19,                0.72527,                 1.1212,                 1.1505,                 1.0999,                0.32555,                0.37533,                0.25336,                0.15641,                0.24319,                0.33849,                0.21234,                0.10724,                 1.5966,                  4.694,                 3.0314,                  1.811,             0.00074702,             0.00074702,             0.00074702
                     20,                0.72568,                 1.1061,                 1.1181,                 1.0733,                0.29535,                0.27852,                0.20513,                0.12183,                0.22742,                 0.2251,                0.14399,                0.07773,                 1.6464,                 5.2103,                 3.0683,                  1.831,             0.00073802,             0.00073802,             0.00073802
                     21,                0.70242,                 1.0901,                 1.0802,                 1.0651,                 0.2974,                 0.2419,                0.18139,                0.10918,                0.32941,                0.17581,                0.14351,                0.08269,                 1.5531,                 5.5042,                 3.0855,                 1.7668,             0.00072902,             0.00072902,             0.00072902
