                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2926,                 4.7143,                 3.7178,                 1.4839,                0.00293,                0.24189,                0.01211,                0.00522,                0.00277,                0.18064,                 0.0074,                0.00401,                 1.6351,                 4.6746,                 3.6494,                 1.8085,              3.636e-05,              3.636e-05,              3.636e-05
                      2,                 1.1408,                 4.5675,                 3.6535,                 1.4359,                0.00311,                0.27364,                0.03794,                0.02265,                0.00276,                0.22032,                0.02389,                 0.0147,                 1.2028,                 4.3799,                  3.595,                 1.5045,             8.1405e-05,             8.1405e-05,             8.1405e-05
                      3,                0.87582,                 2.7703,                 3.5875,                 1.2226,                0.00324,                0.29348,                0.03076,                0.01345,                0.00259,                0.25328,                0.02155,                0.00827,                 1.1011,                 4.5181,                 3.5963,                 1.3698,               0.000126,               0.000126,               0.000126
                      4,                0.75669,                 1.9462,                 3.4024,                  1.191,                0.00325,                0.28727,                0.04051,                0.01539,                0.00245,                0.23344,                0.03579,                 0.0104,                 1.1324,                 4.3431,                  3.596,                 1.4139,             0.00017015,             0.00017015,             0.00017015
                      5,                0.82341,                  1.928,                   3.38,                 1.2203,                0.02042,                0.31546,                0.06282,                0.04178,                0.01989,                0.25196,                 0.0387,                0.02633,                 1.0115,                 3.9821,                 3.5715,                 1.3082,             0.00021384,             0.00021384,             0.00021384
                      6,                0.78606,                 1.9094,                 3.2902,                 1.1732,                0.05881,                0.37439,                0.07958,                0.04676,                0.05602,                0.33787,                0.06781,                0.04433,                 1.0788,                 3.8934,                 3.5721,                 1.3517,             0.00025709,             0.00025709,             0.00025709
                      7,                0.78049,                 1.7402,                  3.128,                 1.1502,                0.08179,                0.45444,                0.11218,                0.06312,                0.08123,                 0.3887,                 0.1138,                0.05647,                 1.2542,                 3.9669,                 3.6165,                 1.5319,             0.00029988,             0.00029988,             0.00029988
                      8,                0.83456,                 1.6855,                 3.0001,                 1.1708,                0.05188,                0.44935,                0.12118,                0.04977,                0.04191,                0.35175,                0.09271,                0.04842,                  1.338,                 4.0711,                 3.5931,                 1.5845,             0.00034223,             0.00034223,             0.00034223
                      9,                0.84758,                  1.774,                 2.8144,                 1.1892,                0.02724,                0.54388,                0.11443,                0.05694,                0.02226,                0.46806,                0.08639,                0.04426,                 1.3797,                 4.9082,                 3.5557,                 1.6695,             0.00038412,             0.00038412,             0.00038412
                     10,                0.89518,                 1.8283,                 2.7122,                 1.1717,                0.02023,                0.59628,                0.09953,                0.04669,                0.01437,                0.43405,                0.06983,                0.03285,                 1.4309,                 4.8254,                  3.555,                 1.6774,             0.00042557,             0.00042557,             0.00042557
